 278  31.0 350.0        m25
 279  31.0 330.0        m26
 280  31.0 310.0        m27
 281  31.0 290.0        m28
 282  31.0 270.0        m29
 283  31.0 250.0        m30
 284  31.0 230.0        m31
 285  31.0 210.0        m32
 286  31.0 190.0        m33
 287  31.0 170.0        m34
 288  31.0 150.0        m35
 289  31.0 130.0        m36
 290  31.0 110.0        m37
 291  90.0  90.0        001
 292  90.5 106.3        002
 293  89.3  73.1        003
 294  81.7  99.6        004
 295  80.3  81.7        005
 296  90.1 126.1        006
 297  82.5 121.1        007
 298  72.8 109.8        008
 299  70.7  89.9        009
 300  73.7  71.4        010
 301  83.7  62.5        011
 302  89.8  57.0        012
 303  98.1 135.5        013
 304  82.0 132.4        014
 305  70.2 126.1        015
 306  60.8 103.0        016
 307  62.2  76.1        017
 308  71.7  57.8        018
 309  84.1  49.0        019
 310  97.0  46.2        020
 311  89.2 143.4        021
 312  54.4 117.0        022
 313  49.6  88.7        023
 314  55.1  64.7        024
 315  72.2  43.6        025
 316  89.7  39.9        026
 317 108.8 150.9        027
 318  79.7 148.4        028
 319  63.5 142.0        029
 320  53.4 130.7        030
 321  42.8 106.6        031
 322  43.3  76.7        032
 323  56.0  48.2        033
 324  80.2  33.1        034
 325 108.3  27.8        035
 326  89.5 162.2        036
 327  69.4 158.8        037
 328  50.1 145.1        038
 329  37.8 126.2        039
 330  31.9  91.9        040
 331  36.4  58.8        041
 332  52.2  36.3        042
 333  70.1  24.7        043
 334  90.7  20.0        044
 335  80.5 168.7        045
 336  57.0 163.6        046
 337  66.7 178.7        047
 338  41.7 171.2        048
 339  22.5 159.2        049
 340   9.7 102.4        050
 341  21.7  26.0        051
 342  42.4   9.8        052
 343  64.2   4.6        053
 344  37.8 157.5        054
 345  24.8 120.6        055
 346  23.6  65.3        056
 347  38.7  32.0        057
 348  56.1  20.4        058
 349  77.5  11.7        059
 350  90.0 180.0        060
 351  90.0   0.0        061
 352  77.6 188.6        062
 353  34.0 189.3        063
 354  56.1 188.3        064
 355  14.9 201.8        065
 356  11.0 341.2        066
 357  30.9 355.2        067
